State,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0.034,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_An,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,1.4,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0.8,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,1.7,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,1.8,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,1.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0
Ac_As,0,0,0,0,0,1.2,0,0,0,0,0,0,0,0,0,0,0,0,0
